# Pi=0.2004  tau_fitted_h=30.7967  n0_fitted_mol=3.6270e-12
t_seconds,n_T2_salt_mol
1.304118e+05,1.118655e-12
1.306893e+05,1.115859e-12
1.309667e+05,1.113069e-12
1.312442e+05,1.110287e-12
1.315217e+05,1.107512e-12
1.317992e+05,1.104744e-12
1.320766e+05,1.101982e-12
1.323541e+05,1.099228e-12
1.326316e+05,1.096480e-12
1.329091e+05,1.093739e-12
1.331865e+05,1.091006e-12
1.334640e+05,1.088278e-12
1.337415e+05,1.085558e-12
1.340189e+05,1.082845e-12
1.342964e+05,1.080138e-12
1.345739e+05,1.077438e-12
1.348514e+05,1.074745e-12
1.351288e+05,1.072059e-12
1.354063e+05,1.069379e-12
1.356838e+05,1.066706e-12
1.359612e+05,1.064040e-12
1.362387e+05,1.061380e-12
1.365162e+05,1.058727e-12
1.367937e+05,1.056080e-12
1.370711e+05,1.053441e-12
1.373486e+05,1.050808e-12
1.376261e+05,1.048181e-12
1.379035e+05,1.045561e-12
1.381810e+05,1.042947e-12
1.384585e+05,1.040341e-12
1.387360e+05,1.037740e-12
1.390134e+05,1.035146e-12
1.392909e+05,1.032559e-12
1.395684e+05,1.029978e-12
1.398458e+05,1.027403e-12
1.401233e+05,1.024835e-12
1.404008e+05,1.022273e-12
1.406783e+05,1.019718e-12
1.409557e+05,1.017169e-12
1.412332e+05,1.014627e-12
1.415107e+05,1.012091e-12
1.417882e+05,1.009561e-12
1.420656e+05,1.007037e-12
1.423431e+05,1.004520e-12
1.426206e+05,1.002009e-12
1.428980e+05,9.995047e-13
1.431755e+05,9.970064e-13
1.434530e+05,9.945143e-13
1.437305e+05,9.920284e-13
1.440079e+05,9.895487e-13
1.442854e+05,9.870753e-13
1.445629e+05,9.846080e-13
1.448403e+05,9.821469e-13
1.451178e+05,9.796919e-13
1.453953e+05,9.772431e-13
1.456728e+05,9.748004e-13
1.459502e+05,9.723638e-13
1.462277e+05,9.699332e-13
1.465052e+05,9.675088e-13
1.467826e+05,9.650904e-13
1.470601e+05,9.626781e-13
1.473376e+05,9.602718e-13
1.476151e+05,9.578715e-13
1.478925e+05,9.554772e-13
1.481700e+05,9.530889e-13
1.484475e+05,9.507066e-13
1.487250e+05,9.483302e-13
1.490024e+05,9.459598e-13
1.492799e+05,9.435953e-13
1.495574e+05,9.412367e-13
1.498348e+05,9.388840e-13
1.501123e+05,9.365371e-13
1.503898e+05,9.341962e-13
1.506673e+05,9.318611e-13
1.509447e+05,9.295318e-13
1.512222e+05,9.272084e-13
1.514997e+05,9.248907e-13
1.517771e+05,9.225789e-13
1.520546e+05,9.202728e-13
1.523321e+05,9.179725e-13
1.526096e+05,9.156779e-13
1.528870e+05,9.133891e-13
1.531645e+05,9.111060e-13
1.534420e+05,9.088286e-13
1.537194e+05,9.065569e-13
1.539969e+05,9.042909e-13
1.542744e+05,9.020306e-13
1.545519e+05,8.997759e-13
1.548293e+05,8.975268e-13
1.551068e+05,8.952833e-13
1.553843e+05,8.930455e-13
1.556617e+05,8.908132e-13
1.559392e+05,8.885866e-13
1.562167e+05,8.863655e-13
1.564942e+05,8.841499e-13
1.567716e+05,8.819399e-13
1.570491e+05,8.797354e-13
1.573266e+05,8.775364e-13
1.576041e+05,8.753430e-13
1.578815e+05,8.731550e-13
1.581590e+05,8.709724e-13
1.584365e+05,8.687954e-13
1.587139e+05,8.666237e-13
1.589914e+05,8.644575e-13
1.592689e+05,8.622967e-13
1.595464e+05,8.601414e-13
1.598238e+05,8.579913e-13
1.601013e+05,8.558467e-13
1.603788e+05,8.537075e-13
1.606562e+05,8.515735e-13
1.609337e+05,8.494450e-13
1.612112e+05,8.473217e-13
1.614887e+05,8.452037e-13
1.617661e+05,8.430911e-13
1.620436e+05,8.409837e-13
1.623211e+05,8.388816e-13
1.625985e+05,8.367847e-13
1.628760e+05,8.346931e-13
1.631535e+05,8.326067e-13
1.634310e+05,8.305255e-13
1.637084e+05,8.284496e-13
1.639859e+05,8.263788e-13
1.642634e+05,8.243132e-13
1.645409e+05,8.222527e-13
1.648183e+05,8.201974e-13
1.650958e+05,8.181473e-13
1.653733e+05,8.161022e-13
1.656507e+05,8.140623e-13
1.659282e+05,8.120275e-13
1.662057e+05,8.099978e-13
1.664832e+05,8.079731e-13
1.667606e+05,8.059535e-13
1.670381e+05,8.039389e-13
1.673156e+05,8.019294e-13
1.675930e+05,7.999249e-13
1.678705e+05,7.979254e-13
1.681480e+05,7.959310e-13
1.684255e+05,7.939415e-13
1.687029e+05,7.919569e-13
1.689804e+05,7.899774e-13
1.692579e+05,7.880027e-13
1.695353e+05,7.860331e-13
1.698128e+05,7.840683e-13
1.700903e+05,7.821085e-13
1.703678e+05,7.801535e-13
1.706452e+05,7.782034e-13
1.709227e+05,7.762582e-13
1.712002e+05,7.743179e-13
1.714776e+05,7.723824e-13
1.717551e+05,7.704518e-13
1.720326e+05,7.685260e-13
1.723101e+05,7.666050e-13
1.725875e+05,7.646888e-13
1.728650e+05,7.627774e-13
1.731425e+05,7.608708e-13
1.734200e+05,7.589689e-13
1.736974e+05,7.570718e-13
1.739749e+05,7.551794e-13
1.742524e+05,7.532918e-13
1.745298e+05,7.514089e-13
1.748073e+05,7.495306e-13
1.750848e+05,7.476571e-13
1.753623e+05,7.457883e-13
1.756397e+05,7.439241e-13
1.759172e+05,7.420646e-13
1.761947e+05,7.402098e-13
1.764721e+05,7.383595e-13
1.767496e+05,7.365139e-13
1.770271e+05,7.346730e-13
1.773046e+05,7.328366e-13
1.775820e+05,7.310048e-13
1.778595e+05,7.291776e-13
1.781370e+05,7.273549e-13
1.784144e+05,7.255368e-13
1.786919e+05,7.237233e-13
1.789694e+05,7.219143e-13
1.792469e+05,7.201098e-13
1.795243e+05,7.183098e-13
1.798018e+05,7.165143e-13
1.800793e+05,7.147233e-13
1.803567e+05,7.129368e-13
1.806342e+05,7.111548e-13
1.809117e+05,7.093772e-13
1.811892e+05,7.076040e-13
1.814666e+05,7.058353e-13
1.817441e+05,7.040710e-13
1.820216e+05,7.023111e-13
1.822991e+05,7.005556e-13
1.825765e+05,6.988045e-13
1.828540e+05,6.970578e-13
1.831315e+05,6.953154e-13
1.834089e+05,6.935774e-13
1.836864e+05,6.918438e-13
1.839639e+05,6.901145e-13
1.842414e+05,6.883895e-13
1.845188e+05,6.866688e-13
1.847963e+05,6.849524e-13
1.850738e+05,6.832403e-13
1.853512e+05,6.815325e-13
1.856287e+05,6.798289e-13
1.859062e+05,6.781296e-13
1.861837e+05,6.764346e-13
1.864611e+05,6.747438e-13
1.867386e+05,6.730572e-13
1.870161e+05,6.713748e-13
1.872935e+05,6.696966e-13
1.875710e+05,6.680227e-13
1.878485e+05,6.663529e-13
1.881260e+05,6.646873e-13
1.884034e+05,6.630258e-13
1.886809e+05,6.613685e-13
1.889584e+05,6.597154e-13
1.892359e+05,6.580664e-13
1.895133e+05,6.564215e-13
1.897908e+05,6.547807e-13
1.900683e+05,6.531440e-13
1.903457e+05,6.515114e-13
1.906232e+05,6.498829e-13
1.909007e+05,6.482585e-13
1.911782e+05,6.466381e-13
1.914556e+05,6.450218e-13
1.917331e+05,6.434095e-13
1.920106e+05,6.418012e-13
1.922880e+05,6.401970e-13
1.925655e+05,6.385967e-13
1.928430e+05,6.370005e-13
1.931205e+05,6.354083e-13
1.933979e+05,6.338200e-13
1.936754e+05,6.322357e-13
1.939529e+05,6.306554e-13
1.942303e+05,6.290790e-13
1.945078e+05,6.275066e-13
1.947853e+05,6.259381e-13
1.950628e+05,6.243735e-13
1.953402e+05,6.228128e-13
1.956177e+05,6.212560e-13
1.958952e+05,6.197031e-13
1.961726e+05,6.181541e-13
1.964501e+05,6.166090e-13
1.967276e+05,6.150677e-13
1.970051e+05,6.135303e-13
1.972825e+05,6.119967e-13
1.975600e+05,6.104670e-13
1.978375e+05,6.089411e-13
1.981150e+05,6.074190e-13
1.983924e+05,6.059007e-13
1.986699e+05,6.043862e-13
1.989474e+05,6.028755e-13
1.992248e+05,6.013685e-13
1.995023e+05,5.998653e-13
1.997798e+05,5.983659e-13
2.000573e+05,5.968703e-13
2.003347e+05,5.953783e-13
2.006122e+05,5.938901e-13
2.008897e+05,5.924056e-13
2.011671e+05,5.909249e-13
2.014446e+05,5.894478e-13
2.017221e+05,5.879744e-13
2.019996e+05,5.865047e-13
2.022770e+05,5.850387e-13
2.025545e+05,5.835764e-13
2.028320e+05,5.821177e-13
2.031094e+05,5.806626e-13
2.033869e+05,5.792112e-13
2.036644e+05,5.777634e-13
2.039419e+05,5.763192e-13
2.042193e+05,5.748787e-13
2.044968e+05,5.734417e-13
2.047743e+05,5.720083e-13
2.050518e+05,5.705785e-13
2.053292e+05,5.691523e-13
2.056067e+05,5.677297e-13
2.058842e+05,5.663106e-13
2.061616e+05,5.648950e-13
2.064391e+05,5.634830e-13
2.067166e+05,5.620746e-13
2.069941e+05,5.606696e-13
2.072715e+05,5.592682e-13
2.075490e+05,5.578702e-13
2.078265e+05,5.564758e-13
2.081039e+05,5.550848e-13
2.083814e+05,5.536973e-13
2.086589e+05,5.523133e-13
2.089364e+05,5.509328e-13
2.092138e+05,5.495557e-13
2.094913e+05,5.481820e-13
2.097688e+05,5.468118e-13
2.100462e+05,5.454450e-13
2.103237e+05,5.440816e-13
2.106012e+05,5.427216e-13
2.108787e+05,5.413650e-13
2.111561e+05,5.400118e-13
2.114336e+05,5.386620e-13
2.117111e+05,5.373156e-13
2.119885e+05,5.359725e-13
2.122660e+05,5.346328e-13
2.125435e+05,5.332964e-13
2.128210e+05,5.319634e-13
2.130984e+05,5.306337e-13
2.133759e+05,5.293073e-13
2.136534e+05,5.279843e-13
2.139309e+05,5.266646e-13
2.142083e+05,5.253481e-13
2.144858e+05,5.240350e-13
2.147633e+05,5.227251e-13
2.150407e+05,5.214185e-13
2.153182e+05,5.201151e-13
2.155957e+05,5.188151e-13
2.158732e+05,5.175182e-13
2.161506e+05,5.162247e-13
2.164281e+05,5.149343e-13
2.167056e+05,5.136472e-13
2.169830e+05,5.123633e-13
2.172605e+05,5.110826e-13
2.175380e+05,5.098051e-13
2.178155e+05,5.085308e-13
2.180929e+05,5.072597e-13
2.183704e+05,5.059917e-13
2.186479e+05,5.047270e-13
2.189253e+05,5.034653e-13
2.192028e+05,5.022069e-13
2.194803e+05,5.009516e-13
2.197578e+05,4.996994e-13
2.200352e+05,4.984504e-13
2.203127e+05,4.972044e-13
2.205902e+05,4.959616e-13
2.208677e+05,4.947219e-13
2.211451e+05,4.934853e-13
2.214226e+05,4.922518e-13
2.217001e+05,4.910214e-13
2.219775e+05,4.897940e-13
2.222550e+05,4.885698e-13
2.225325e+05,4.873485e-13
2.228100e+05,4.861304e-13
2.230874e+05,4.849152e-13
2.233649e+05,4.837031e-13
2.236424e+05,4.824941e-13
2.239198e+05,4.812880e-13
2.241973e+05,4.800850e-13
2.244748e+05,4.788850e-13
2.247523e+05,4.776880e-13
2.250297e+05,4.764940e-13
2.253072e+05,4.753029e-13
2.255847e+05,4.741149e-13
2.258621e+05,4.729298e-13
2.261396e+05,4.717476e-13
2.264171e+05,4.705685e-13
2.266946e+05,4.693922e-13
2.269720e+05,4.682190e-13
2.272495e+05,4.670486e-13
2.275270e+05,4.658812e-13
2.278044e+05,4.647167e-13
2.280819e+05,4.635551e-13
2.283594e+05,4.623964e-13
2.286369e+05,4.612406e-13
2.289143e+05,4.600876e-13
2.291918e+05,4.589376e-13
2.294693e+05,4.577905e-13
2.297468e+05,4.566462e-13
2.300242e+05,4.555047e-13
2.303017e+05,4.543662e-13
2.305792e+05,4.532304e-13
2.308566e+05,4.520975e-13
2.311341e+05,4.509675e-13
2.314116e+05,4.498403e-13
2.316891e+05,4.487158e-13
2.319665e+05,4.475942e-13
2.322440e+05,4.464754e-13
2.325215e+05,4.453594e-13
2.327989e+05,4.442462e-13
2.330764e+05,4.431358e-13
2.333539e+05,4.420281e-13
2.336314e+05,4.409232e-13
2.339088e+05,4.398211e-13
2.341863e+05,4.387217e-13
2.344638e+05,4.376251e-13
2.347412e+05,4.365312e-13
2.350187e+05,4.354401e-13
2.352962e+05,4.343517e-13
2.355737e+05,4.332660e-13
2.358511e+05,4.321830e-13
2.361286e+05,4.311027e-13
2.364061e+05,4.300251e-13
2.366836e+05,4.289502e-13
2.369610e+05,4.278780e-13
2.372385e+05,4.268085e-13
2.375160e+05,4.257417e-13
2.377934e+05,4.246775e-13
2.380709e+05,4.236160e-13
2.383484e+05,4.225571e-13
